"secnum","order","section","tnc","eng","audio"
12,6,"General Dialogue","Jaan nee'aanděg' <u>sh</u>íi nts'é xiyu<u>s</u>íix?","What do they call this in Native language?",
12,7,"General Dialogue","Nee'anděg' <u>sh</u>íi k'étl'adíidaay mii<u>s</u>í'.","It's call that k'étl'adíidaay in our language.",
12,8,"General Dialogue","Ndée dé' tínhaał?","When are you leaving.",
12,9,"General Dialogue","k'ahdaan xuk'ahdąądé'.","day after tomorrow",
12,10,"General Dialogue","k'ahdíide'","in a little while",
12,11,"General Dialogue","Ndée ts'enh ghinhaał?","Where are you coming from?",
12,12,"General Dialogue","Xaxdeldiix <u>sh</u>ax ts'enh ghihhaał.","I'm coming from the shool",
12,13,"General Dialogue","Ishndah <u>sh</u>ax ts'enh ghihhaał.","from my workplace",
12,14,"General Dialogue","Nee<u>sh</u>ax ts'enh ghihhaał.","from my house.",
12,15,"General Dialogue","Kón' k'ée łâan ninih<u>sh</u>aay.","I went to you house but no one was home.",
12,16,"General Dialogue","Naan dóo ch'e nt'eey?","Who is that?",
12,17,"General Dialogue","Naan shtá' sínt'eh.","That's my father.",
12,18,"General Dialogue","John mii<u>s</u>í'.","His name is John.",
13,1,"Directions","yandóg","area above, inland",
13,2,"Directions","Yandóg da<u>sh</u>ée' teyh tee'ah.","There's a hill up above here.",
13,3,"Directions","yandíi","upstream",
13,4,"Directions","Yandíi Tok dhihdah.","I live up in Tok.",
13,5,"Directions","yanadá'a","downstream",
13,6,"Directions","Yaadá'a Fairbanks ts'į́' tíhhaay.","I am going down that way to Fairbanks.",
13,7,"Directions","yaatthúg","area toward water",
13,8,"Directions","Yaatthúg dendîig ah'és.","Moose are walking around down by the river.",
13,9,"Directions","yandâaz","area across",
13,10,"Directions","Yandáas ts'ęy dhihdah.","I live across the river.",
13,11,"Directions","ya'én'","away, over there",
13,12,"Directions","Ya'én' ts'enh Tatl'oxt'een iin xnindeetl.","The Copper River people are coming from over there.",
13,13,"Directions","yaatthén'","down toward water",
13,14,"Directions","Yaatthén' naxtétdeetl.","They went back down that way.",
14,1,"Weather","Nah'óg nts'é xúnt'eh?","How is the weather?",
14,2,"Weather","Xesadin'ąą.","It's sunny.",
14,3,"Weather","K'á xesadíi'a̋ay.","It's not sunny.",
14,4,"Weather","K'oth xun<u>ł</u>ęę.","It's cloudy.",
14,5,"Weather","K'á k'oth xuu<u>ł</u>e̋ey.","It's not cloudy.",
14,6,"Weather","Ehchąą.","It's raining.",
14,7,"Weather","K'á éhcha̋an.","It's not raining.",
14,8,"Weather","Eh<u>sh</u>áatth.","It's snowing.",
14,9,"Weather","Ghįh<u>sh</u>áatth.","It snowed.",
14,10,"Weather","K'á eh<u>sh</u>a̋addh.","It's not snowing.",
14,11,"Weather","Ehts'eyh.","It's windy.",
14,12,"Weather","Xnéek'etth.","It's cold.",
14,13,"Weather","Xnée<u>th</u>eł.","It's warm.",
14,14,"Weather","Náts'í'áldox.","It's foggy.",
14,15,"Weather","Nah'óg xún<u>s</u>ųų.","It's nice out.",
14,16,"Weather","Xághį́įhts'eyh.","It's stormy.",
14,17,"Weather","Nah'óg xúltlet.","It's slippery.",
14,18,"Weather","Shetth nén' k'et xún<u>ł</u>ęę.","There's snow on the ground.",
14,19,"Weather","Nah'óg łéech'aak xun<u>ł</u>ęę.","It's muddy outside.",
14,20,"Weather","saa","sun",
14,21,"Weather","Xasaaghin'ąą.","The sun rose.",
14,22,"Weather","Nasaatee'ąą.","The sun is setting.",
14,23,"Weather","sén'","stars",
14,24,"Weather","Teddh tah sén' <u>sh</u>aa k'et xo<u>ł</u>eex.","There are usually stars in the sky at night.",
14,25,"Weather","yaadíimeey","northern lights",
14,26,"Weather","Xnéek'etth dé yaadíimeey tnįh'íił.","If it's cold out you will see the northern lights.",
14,27,"Weather","gheldzeey","moon",
14,28,"Weather","Teddh tah <u>sh</u>ę́ę' xun<u>s</u>ų́ų' gheldzeey ts'eneh'íix.","We can see the moon real well at night.",
14,29,"Weather","saamíil'","rainbow",
14,30,"Weather","Ghįhchaan tl'âan dé' saamíil' tnįh'íił.","After it rains you will see a rainbow.",
14,31,"Weather","nách'altsón'","clear",
14,32,"Weather","<u>Sh</u>aa k'et nách'altsón'.","The sky is clear.",
15,1,"Counting","ts'ehłeg","one",
15,2,"Counting","łuug ts'ehłeg","one fish",
15,3,"Counting","ts'ehłox","once",
15,4,"Counting","łdíikey","two",
15,5,"Counting","taag","three",
15,6,"Counting","den","four",
15,7,"Counting","áłts'ę̂y","five",
15,8,"Counting","niłk'eteg","six",
15,9,"Counting","niłk'eteg wuk'et","seven",
15,10,"Counting","niłk'eden","eight",
15,11,"Counting","niłk'eden wuk'et","nine",
15,12,"Counting","ts'ehłox deetaan","ten",
16,1,"Place Names","Tats'áltęy","Tanacross",
16,2,"Place Names","Dihthâad","Mansfield",
16,3,"Place Names","Kelt'aaddh Měnn'","Dot Lake",
16,4,"Place Names","Menhdees Cheeg'","Healy Lake",
16,5,"Place Names","Saages Cheeg'","Ketchumstuck",
16,6,"Place Names","K'ehtthiig","Northway",
16,7,"Place Names","Tth'iitú'","Tanana River",
16,8,"Place Names","Dihthâad Ndiig","Fish Creek",
16,9,"Place Names","Dlaaměnn'","Glaman Lake",
16,10,"Place Names","Me<u>s</u>iin Tsiits'įįg","Mansfield Hill",
16,11,"Place Names","Nindeeyh Měnn'","Camp Lake",
16,12,"Place Names","Dechenh Xajenin'ah","Long Cabin",
16,13,"Place Names","Naa<u>x</u>ęy Xú'","Tanacross Mountain (Mt. Neuberger)",
16,14,"Place Names","Teets'iinkeen","Mt. Fairplay",
16,15,"Place Names","Daach'indeedl Ndiig","Yerrick Creek",
16,16,"Place Names","Nihtsiil Ndiig","Robertson River",
16,17,"Place Names","Shos Ddheł Ndiig","Little Gerstle River",
16,18,"Place Names","Ch'inchedl Měnn'","Sam Lake",
17,1,"Seasons","nox<u>ł</u>uu","autumn",
17,2,"Seasons","Nox<u>ł</u>uu xún<u>ł</u>ęę.","It's autumn.",
17,3,"Seasons","Nox<u>ł</u>uu tah tth'iitú' dáttenh.","In autumn the river will freeze.",
17,4,"Seasons","xey","winter",
17,5,"Seasons","Xey xún<u>ł</u>ęę.","It's winter.",
17,6,"Seasons","Xey tah <u>sh</u>éth xo<u>ł</u>eex.","In winter there is snow.",
17,7,"Seasons","dę̂y","spring",
17,8,"Seasons","Dę̂y xún<u>ł</u>ęę.","It's spring.",
17,9,"Seasons","Dę̂y tah łuut na'el<u>x</u>į́į'.","In spring the ice melts.",
17,10,"Seasons","sheen","summer",
17,11,"Seasons","Sheen xún<u>ł</u>ęę.","It's summer.",
17,12,"Seasons","Sheen tah taa<u>th</u>éth t'aagh dzeltth'íix.","In summer we stay in tents.",
18,1,"Time","dzeen","day, today",
18,2,"Time","Dzeen tah ishndah.","I work during the day.",
18,3,"Time","k'ahdâandé'","tomorrow",
18,4,"Time","K'ahdâandé' Fairbanks ts'į́' natihdaał.","I'm going to go back to Fairbanks tomorrow.",
18,5,"Time","k'ahdâandą́'ą","yesterday",
18,6,"Time","K'ahdâandą́'ą chíh ghį́įhchąą.","It rained yesterday also.",
18,7,"Time","k'ahdíidą́'ą","a while ago",
18,8,"Time","K'ahdíidą́'ą nach'ih'aatl.","I ate a little while ago.",
18,9,"Time","k'ahdíidé'","after a while",
18,10,"Time","K'ahdíidé' tâatihdaał.","After a while I'm going home.",
18,11,"Time","k'áhmén'","morning",
18,12,"Time","k'áhmén' dą́'ą","this morning",
18,13,"Time","k'áhmén' dé'","tomorrow morning",
18,14,"Time","teddh","night",
18,15,"Time","teddh dą́'ą","last night",
18,16,"Time","teddh dé'","tonight",
18,17,"Time","teddh ts'į́'","evening",
18,18,"Time","Teddh ts'į́' xaa<u>th</u>eł.","It's getting toward evening.",
18,19,"Time","Wut'axdį́įht'eey ts'eníin' exun<u>ł</u>ęę dzěen'","Christmas",
19,1,"Food","shí'","meat",
19,2,"Food","Shí' į́hmeets!","Cook some meat!",
19,3,"Food","shí' gęyh","dry meat",
19,4,"Food","Xey tah shí' gęyh ts'e'íił.","We eat dry meat in the winter.",
19,5,"Food","łuug","fish",
19,6,"Food","Łuug dhekłóx.","I'm jigging for fish.",
19,7,"Food","łuug k'ų́ų'","fish eggs",
19,8,"Food","łuug k'ų́ų' į́hmeets!","Cook some fish eggs!",
19,9,"Food","má'","dried fish",
19,10,"Food","Sheen tah má' ts'ehgį́įyh.","We dry fish in summer.",
19,11,"Food","tuu<u>th</u>eł","soup",
19,12,"Food","Tuu<u>th</u>eł shaa n<u>s</u>ųų.","I like soup.",
19,13,"Food","jêg","blueberries",
19,14,"Food","Jêg elkęyh.","Blueberries are sweet.",
19,15,"Food","ntl'ét","low bush cranberry",
19,16,"Food","Sheen tah ntl'et nektsíik.","In summer I pick cranberries.",
19,17,"Food","naníhdûuy","high bush cranberry",
19,18,"Food","Naníhdûuy k'á xun<u>s</u>ų́ų mexálltse̋nn.","High bush cranberries don't smell good.",
19,19,"Food","nkáatl","salmonberry",
19,20,"Food","naa<u>x</u>ęy jêg","frogberries",
19,21,"Food","danch'ǒg'","raspberry",
19,22,"Food","naht'êez","blackberries",
19,23,"Food","Naht'êez dlaat k'et nee<u>sh</u>íix.","Blackberries are growing on the moss.",
19,24,"Food","gų́ųth","wild rhubarb",
19,25,"Food","ldîil","tea",
19,26,"Food","ldîil ishnąą","I'm drinking tea",
19,27,"Food","tuu nee<u>th</u>el","hot beverage",
19,28,"Food","Tuu nee<u>th</u>el eynin<u>th</u>en?","Would you like a hot beverage?",
19,29,"Food","łéets eet'êey","frybread",
19,30,"Food","Léets ekt'éeth.","I'm making frybread.",
19,31,"Food","basdlah","butter",
19,32,"Food","Basdlah wuka'íhłeex.","I'm spreading butter on it.",
19,33,"Food","ch'e<u>x</u>ěez'","eggs",
19,34,"Food","tsaath","Indian potato, 'roots'",
19,35,"Food","Dę̂y tah tsaath xáts'áxo<u>ł</u>íi'","In the spring we dig roots.",
19,36,"Food","nchųųth","rosehips",
20,1,"Household Items","<u>sh</u>ax","house",
20,2,"Household Items","kón'","fire, matches",
20,3,"Household Items","Kón' tédhihtthét.","I struck a match.",
20,4,"Household Items","Kón' dį́hk'aay!","Build a fire!",
20,5,"Household Items","tsets","fire wood",
20,6,"Household Items","Tsets inddheeł!","Chop some wood!",
20,7,"Household Items","k'étl'adíidaay","chair",
20,8,"Household Items","k'ech'íi'âadl","table",
20,9,"Household Items","tuutiił","cup",
20,10,"Household Items","ldîil tiił","teapot",
20,11,"Household Items","tth'áak","plate",
20,12,"Household Items","seey","knife",
20,13,"Household Items","ch'iigod","fork",
20,14,"Household Items","k'áhtsêdl","spoon",
20,15,"Household Items","t'ées","charcoal",
20,16,"Household Items","T'ées kón' k'ee xołeex.","There's charcoal in the fireplace.",
20,17,"Household Items","téeł","bedding, matress",
20,18,"Household Items","Wutéel' nadhekxoł.","I folded his bedding.",
20,19,"Household Items","dahdzeł","bed",
20,20,"Household Items","Dahdzeł k'et téeł xédéedlah.","The bedding is lying on the bed.",
20,21,"Household Items","ts'ěd'","blanket",
20,22,"Household Items","Nts'éd' ná'įhxoł.","Fold your blanket.",
20,23,"Household Items","l<u>s</u>aaz","money",
20,24,"Household Items","L<u>s</u>aaz éł maa xu'inkeet.","Pay for it with money.",
20,25,"Household Items","dahmíił","swing",
20,26,"Household Items","xetl","sled",
20,27,"Household Items","Ts'inkeey iin xetl <u>sh</u>íi xedáxghiljeyh.","The children are sliding down the hill in a sled.",
20,28,"Household Items","meth","toboggan, dragging sled",
20,29,"Household Items","ts'eyh","boat",
20,30,"Household Items","k'įį ts'eyh","canoe",
20,31,"Household Items","Yanáan ts'eyh <u>sh</u>íi tíhkeeł.","I'm going across in a boat.",
20,32,"Household Items","dahtsaa","cache",
20,33,"Household Items","taa<u>th</u>éth","tent",
20,34,"Household Items","dahdzeł","drying rack",
20,35,"Household Items","tehmíił","fish net",
20,36,"Household Items","natet<u>sh</u>eg","car",
20,37,"Household Items","wu<u>sh</u>íi xedeek'énn'","stove",
21,1,"Tools","chin'êey","axe",
21,2,"Tools","Chin'êey éł tsets et-tthéeł.","He's chopping fire wood with an axe",
21,3,"Tools","k'á'","gun",
21,4,"Tools","K'á' éł ná'el<u>s</u>éex.","He's hunting with a gun.",
